claim_id,closest_prior_work,exact_overlap,imported_step,oph_specific_delta,novelty_type,owner_theorem_or_section,falsifier
OPH-DM-CONT,"MOND, RAR, LCDM, cluster and CMB dark-sector literature","Galaxy and cosmology targets are imported","Phenomenological benchmarks","Record-repair collar stress as the dark gravitational component, with scalar collar CMI retained only as a recovery diagnostic rather than promoted to the source","phenomenological_continuation","Dark matter paper","Frozen joint likelihood excludes declared transport law or the source is replaced by scalar CMI without a stress-construction theorem"
OPH-YM-GAP,"Clay/Jaffe-Witten target, compact Yang-Mills, OS reconstruction","Yang-Mills target and reconstruction criteria are imported","Compact gauge and OS language","Repair gap supplies the Hamiltonian mass gap on the OPH branch","problem_solution_on_declared_branch","Yang-Mills gap paper","No support-visible construction or repair gap"
OPH-CHI-NU,"Material response and dark-sector scalar test design","Engineering response bookkeeping is standard","Laboratory coefficient conversion","Canonical susceptibility separated from engineering chart","experimental_target","Chi-nu paper","Controlled substrates miss required contrast"
OPH-STRING-SELECTOR,"String compactification and heterotic Standard Model candidates","String vacuum language and named witnesses are imported","BD witness literature","OPH target vector and gates select or reject the witness","selector_continuation","String selector paper","Witness fails OPH target and safety gates"
OPH-POW-PHOTONIC,"SHA-256d proof-of-work and exact verification","Verifier and ideal-hash baseline are standard","SHA-256d verifier contract","Physical patch proposal stream judged by exact verifier controls","experimental_protocol","Photonic proof-of-work paper","No blinded enrichment or failed controls"
OPH-IBM-GENERATIVE-REPAIR,"Finite Markov chains, dynamic circuits, measurement feedback, and blinded process-model comparison","Born/Luders feedback and finite-kernel likelihoods are standard","Finite groups, lazy heat, dynamic-circuit execution, and conditional likelihood ratios","A bounded group-mismatch patch self-reads, records descent, conditionally repairs, and is judged against matched open-loop and blinded decoy kernels; QM predicts the whole instrument","completed_frozen_engineering_archive","Frozen IBM blinded generative repair archive","A replay or repeat can falsify only the implementation claim; no current outcome distinguishes OPH from QM"
OPH-THINKING-PATCH,"Recurrent networks, predictive coding, attractor dynamics","Neural dynamics concepts are imported","Cognitive computation models","Patch-net normal form as cross-substrate thought model","cross_substrate_model","Thinking paper","No bounded self-reading repair model for cognition"
OPH-PARADISE,"Theology, ethics, and continuation philosophy","Destination language is imported","Record-continuation concepts","OPH repair and record continuation translated into destination law","interpretation","Paradise essay","No coherent record-continuation identity model"
OPH-GR-D3H-GEOMETRY-PRODUCER,"Combinatorial surface classification, Rado theorem, Mobius cross-ratio geometry","Surface classification and cross-ratio rigidity are imported","Classification of closed combinatorial surfaces and conformal reconstruction from cross-ratios","OPH computes the incidence complex from repaired normal forms, produces the BW certificate from decidable receipts, and proves confluence underdetermines topology/dimension/framing/normalization with finite countermodels","producer_theorem_with_countermodels","Compact SM/GR geometry-producer packet","Receipt-carrying tower fails certificate production or readout depends on presentation"
OPH-GR-D4-NULLNET-STANDARDNESS,"Borchers-Wiesbrock theory, Araki-Zsido, Guido-Longo-Wiesbrock, Wiesbrock modular intersections, HJPW Markov structure","Half-sided inclusion and modular intersection machinery are imported","Standard-pair, Mobius-covariance, and Markov-structure theorems","OPH proves the standardness inputs on the produced branch, derives the inclusion from the produced cap flow, replaces the invalid Gibbs-to-modular locality inference with a Markov theorem plus machine-verified counterexample, and states the assembly receipts","standardness_and_assembly_package","Compact SM/GR null-net standardness packet","Unproved standardness input, Markov theorem failure, or assembly failure on receipt towers"
OPH-GR-D4B-EVENT-MANIFOLD,"Causal set/order-metric reconstructions, modular localization, Lorentzian length spaces","Bi-Lipschitz atlas, cone/quadric signature, and low-regularity connection arguments are imported","Standard low-regularity Lorentzian geometry tools","OPH constructs events as coincidence classes of repaired record germs with named E1-E4 receipts, keeps H3 strictly as the frame fiber with a no-section no-go, and supplies countermodels showing dim H3 = 3 promotes nothing","conditional_event_manifold_construction","Compact SM/GR event-manifold packet","Receipt region fails Hausdorffness/dimension/signature or H3 is promoted to a spatial slice"
OPH-GR-D4C-LOCAL-STRESS,"Stress tensor tomography, modular Hamiltonian densities in QFT","Null polarization and least-squares stability are standard","Null tomography of symmetric tensors","T_ab is constructed from OPH modular charges with the MI linearity clause as the exact existence boundary and a machine-verified no-rank-two-source countermodel","stress_construction_from_modular_charges","Compact SM/GR stress packet","Consistent charges fail reconstruction or Ward identity fails"
OPH-GR-D4D-ENTROPY-BRIDGE,"Jacobson Clausius bookkeeping, entanglement first laws","Finite first law and MaxEnt envelope identity are standard","delta S = <K delta rho> and Legendre duality","The dropped-edge-term and changing-stress-channel defects are repaired exactly, with machine-verified split identities and normalization countermodels","first_law_repair_with_countermodels","Compact SM/GR entropy-bridge packet","Exact split violated or multiplier identity fails"
OPH-GR-D5A-ABSOLUTE-EINSTEIN,"Jacobson 1995/2016 small-ball derivations","Fixed-volume area identity and Bianchi identity are imported","Standard small-ball geometry","One declared uniform scaling family replaces diagonal subsequences and an explicit irreducible vacuum-reference receipt replaces the silent baseline choice, with failure examples","uniformity_and_base_condition_package","Compact SM/GR small-diamond packet","Remainder bound fails or absolute equation asserted without VR"
OPH-GR-E2E-BRANCH-ENTRY,"Axiomatic reconstruction programs (AQFT, causal sets, holography)","Composition of conditional theorems is standard practice","Typed composition with error envelopes","The umbrella reduces to one machine-checkable nonemptiness clause with a recorded negative evaluation on realized artifacts, separating derivation completeness from realization","composed_branch_entry_theorem","Compact SM/GR composed branch-entry theorem","An arrow fails or nonemptiness is misreported"
